study_code,ena_ers_sample_id,sample_alias
Allaway_2020_dogs,SAMEA5953189,Allaway_2020_dogs.sample_met_1
Allaway_2020_dogs,SAMEA5953198,Allaway_2020_dogs.sample_met_10
Allaway_2020_dogs,SAMEA5953199,Allaway_2020_dogs.sample_met_11
Allaway_2020_dogs,SAMEA5953200,Allaway_2020_dogs.sample_met_12
Allaway_2020_dogs,SAMEA5953201,Allaway_2020_dogs.sample_met_13
Allaway_2020_dogs,SAMEA5953202,Allaway_2020_dogs.sample_met_14
Allaway_2020_dogs,SAMEA5953203,Allaway_2020_dogs.sample_met_15
Allaway_2020_dogs,SAMEA5953204,Allaway_2020_dogs.sample_met_16
Allaway_2020_dogs,SAMEA5953205,Allaway_2020_dogs.sample_met_17
Allaway_2020_dogs,SAMEA5953206,Allaway_2020_dogs.sample_met_18
Allaway_2020_dogs,SAMEA5953207,Allaway_2020_dogs.sample_met_19
Allaway_2020_dogs,SAMEA5953190,Allaway_2020_dogs.sample_met_2
Allaway_2020_dogs,SAMEA5953208,Allaway_2020_dogs.sample_met_20
Allaway_2020_dogs,SAMEA5953209,Allaway_2020_dogs.sample_met_21
Allaway_2020_dogs,SAMEA5953210,Allaway_2020_dogs.sample_met_22
Allaway_2020_dogs,SAMEA5953211,Allaway_2020_dogs.sample_met_23
Allaway_2020_dogs,SAMEA5953212,Allaway_2020_dogs.sample_met_24
Allaway_2020_dogs,SAMEA5953213,Allaway_2020_dogs.sample_met_25
Allaway_2020_dogs,SAMEA5953214,Allaway_2020_dogs.sample_met_26
Allaway_2020_dogs,SAMEA5953215,Allaway_2020_dogs.sample_met_27
Allaway_2020_dogs,SAMEA5953216,Allaway_2020_dogs.sample_met_28
Allaway_2020_dogs,SAMEA5953217,Allaway_2020_dogs.sample_met_29
Allaway_2020_dogs,SAMEA5953191,Allaway_2020_dogs.sample_met_3
Allaway_2020_dogs,SAMEA5953218,Allaway_2020_dogs.sample_met_30
Allaway_2020_dogs,SAMEA5953219,Allaway_2020_dogs.sample_met_31
Allaway_2020_dogs,SAMEA5953220,Allaway_2020_dogs.sample_met_32
Allaway_2020_dogs,SAMEA5953221,Allaway_2020_dogs.sample_met_33
Allaway_2020_dogs,SAMEA5953222,Allaway_2020_dogs.sample_met_34
Allaway_2020_dogs,SAMEA5953223,Allaway_2020_dogs.sample_met_35
Allaway_2020_dogs,SAMEA5953224,Allaway_2020_dogs.sample_met_36
Allaway_2020_dogs,SAMEA5953225,Allaway_2020_dogs.sample_met_37
Allaway_2020_dogs,SAMEA6863126,Allaway_2020_dogs.sample_met_38
Allaway_2020_dogs,SAMEA6863127,Allaway_2020_dogs.sample_met_39
Allaway_2020_dogs,SAMEA5953192,Allaway_2020_dogs.sample_met_4
Allaway_2020_dogs,SAMEA6863128,Allaway_2020_dogs.sample_met_40
Allaway_2020_dogs,SAMEA6863129,Allaway_2020_dogs.sample_met_41
Allaway_2020_dogs,SAMEA6863130,Allaway_2020_dogs.sample_met_42
Allaway_2020_dogs,SAMEA6863131,Allaway_2020_dogs.sample_met_43
Allaway_2020_dogs,SAMEA6863132,Allaway_2020_dogs.sample_met_44
Allaway_2020_dogs,SAMEA6863133,Allaway_2020_dogs.sample_met_45
Allaway_2020_dogs,SAMEA6863134,Allaway_2020_dogs.sample_met_46
Allaway_2020_dogs,SAMEA6863135,Allaway_2020_dogs.sample_met_47
Allaway_2020_dogs,SAMEA6863136,Allaway_2020_dogs.sample_met_48
Allaway_2020_dogs,SAMEA5953193,Allaway_2020_dogs.sample_met_5
Allaway_2020_dogs,SAMEA5953194,Allaway_2020_dogs.sample_met_6
Allaway_2020_dogs,SAMEA5953195,Allaway_2020_dogs.sample_met_7
Allaway_2020_dogs,SAMEA5953196,Allaway_2020_dogs.sample_met_8
Allaway_2020_dogs,SAMEA5953197,Allaway_2020_dogs.sample_met_9
Andersen_2019_pig,SAMEA4688991,Andersen_2019_pig.sample_1038_1
Andersen_2019_pig,SAMEA4688896,Andersen_2019_pig.sample_1038_2
Andersen_2019_pig,SAMEA4688890,Andersen_2019_pig.sample_1145_1
Andersen_2019_pig,SAMEA4688930,Andersen_2019_pig.sample_1146_1
Andersen_2019_pig,SAMEA4688876,Andersen_2019_pig.sample_1188_1
Andersen_2019_pig,SAMEA4688904,Andersen_2019_pig.sample_1188_2
Andersen_2019_pig,SAMEA4688905,Andersen_2019_pig.sample_1188_2_W
Andersen_2019_pig,SAMEA4688940,Andersen_2019_pig.sample_1473_1
Andersen_2019_pig,SAMEA4688937,Andersen_2019_pig.sample_1497_1
Andersen_2019_pig,SAMEA4688838,Andersen_2019_pig.sample_1698_1
Andersen_2019_pig,SAMEA4688992,Andersen_2019_pig.sample_1698_2
Andersen_2019_pig,SAMEA4688839,Andersen_2019_pig.sample_1851_1
Andersen_2019_pig,SAMEA4688999,Andersen_2019_pig.sample_1851_2
Andersen_2019_pig,SAMEA4688996,Andersen_2019_pig.sample_1851_2_A1
Andersen_2019_pig,SAMEA4688997,Andersen_2019_pig.sample_1851_2_A2
Andersen_2019_pig,SAMEA4688995,Andersen_2019_pig.sample_1851_2_B
Andersen_2019_pig,SAMEA4688993,Andersen_2019_pig.sample_1851_2_B1
Andersen_2019_pig,SAMEA4688994,Andersen_2019_pig.sample_1851_2_B2
Andersen_2019_pig,SAMEA4688840,Andersen_2019_pig.sample_1901_1
Andersen_2019_pig,SAMEA4689000,Andersen_2019_pig.sample_1901_2
Andersen_2019_pig,SAMEA4688886,Andersen_2019_pig.sample_1966_1
Andersen_2019_pig,SAMEA4689001,Andersen_2019_pig.sample_1972_1
Andersen_2019_pig,SAMEA4689002,Andersen_2019_pig.sample_1972_2
Andersen_2019_pig,SAMEA4689003,Andersen_2019_pig.sample_2001_1
Andersen_2019_pig,SAMEA4688841,Andersen_2019_pig.sample_2047_1
Andersen_2019_pig,SAMEA4689004,Andersen_2019_pig.sample_2047_2
Andersen_2019_pig,SAMEA4689005,Andersen_2019_pig.sample_2051_1
Andersen_2019_pig,SAMEA4689006,Andersen_2019_pig.sample_2088_1
Andersen_2019_pig,SAMEA4688931,Andersen_2019_pig.sample_2088_2
Andersen_2019_pig,SAMEA4688877,Andersen_2019_pig.sample_2131_1
Andersen_2019_pig,SAMEA4688879,Andersen_2019_pig.sample_2143_1
Andersen_2019_pig,SAMEA4688917,Andersen_2019_pig.sample_2143_2
Andersen_2019_pig,SAMEA4689007,Andersen_2019_pig.sample_2176a_1
Andersen_2019_pig,SAMEA4688899,Andersen_2019_pig.sample_2176a_2
